link-neighbor?,dictionary,dict/link-neighbor,dictionary-link-neighbor
netlogo-version,dictionary,dict/netlogo-version,dictionary-netlogo-version
netlogo-web?,dictionary,dict/netlogo-web,dictionary-netlogo-web
new-seed,dictionary,dict/new-seed,dictionary-new-seed
no-display,dictionary,dict/no-display,dictionary-no-display
nobody,dictionary,dict/nobody,dictionary-nobody
no-links,dictionary,dict/no-links,dictionary-no-links
no-patches,dictionary,dict/no-patches,dictionary-no-patches
not,dictionary,dict/not,dictionary-not
no-turtles,dictionary,dict/no-turtles,dictionary-no-turtles
of,dictionary,dict/of,dictionary-of
one-of,dictionary,dict/one-of,dictionary-one-of
or,dictionary,dict/or,dictionary-or
other,dictionary,dict/other,dictionary-other
other-end,dictionary,dict/other-end,dictionary-other-end
out-<breed>-neighbor?,dictionary,dict/out-link-neighbor,dictionary-out-link-neighbor
out-link-neighbor?,dictionary,dict/out-link-neighbor,dictionary-out-link-neighbor
out-<breed>-neighbors,dictionary,dict/out-link-neighbors,dictionary-out-link-neighbors
out-link-neighbors,dictionary,dict/out-link-neighbors,dictionary-out-link-neighbors
out-<breed>-to,dictionary,dict/out-link-to,dictionary-out-link-to
out-link-to,dictionary,dict/out-link-to,dictionary-out-link-to
output-print,dictionary,dict/output-cmds,dictionary-output-cmds
output-show,dictionary,dict/output-cmds,dictionary-output-cmds
output-type,dictionary,dict/output-cmds,dictionary-output-cmds
output-write,dictionary,dict/output-cmds,dictionary-output-cmds
patch,dictionary,dict/patch,dictionary-patch
patch-ahead,dictionary,dict/patch-ahead,dictionary-patch-ahead
patch-at,dictionary,dict/patch-at,dictionary-patch-at
patch-at-heading-and-distance,dictionary,dict/patch-at-heading-and-distance,dictionary-patch-at-heading-and-distance
patch-here,dictionary,dict/patch-here,dictionary-patch-here
patch-left-and-ahead,dictionary,dict/patch-lr-and-ahead,dictionary-patch-lr-and-ahead
patch-right-and-ahead,dictionary,dict/patch-lr-and-ahead,dictionary-patch-lr-and-ahead
patch-set,dictionary,dict/patch-set,dictionary-patch-set
patch-size,dictionary,dict/patch-size,dictionary-patch-size
